name,id,key,primary_role,secondary_role,attack,defense,magic,difficulty,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
Ezreal,Ezreal,81,Marksman,Mage,7,2,6,7,600,102,375,70.0,325,24,4.7,30,1.3,550,4.0,0.65,8.5,1.0,60,2.75,2.5,0.625
Fiddlesticks,Fiddlesticks,9,Mage,Support,2,3,9,9,650,106,500,28.0,335,34,4.7,30,1.3,480,5.5,0.6,8.0,0.8,55,2.65,2.11,0.625
Fiora,Fiora,114,Fighter,Assassin,10,4,2,3,620,99,300,60.0,345,33,4.7,32,2.05,150,8.5,0.55,8.0,0.7,66,3.3,3.2,0.69
Fizz,Fizz,105,Assassin,Fighter,6,4,7,6,640,106,317,52.0,335,22,4.6,32,2.05,175,8.0,0.7,6.0,0.8,58,3.0,3.1,0.658
Galio,Galio,3,Tank,Mage,1,10,6,5,632,126,410,40.0,340,24,4.7,32,2.05,150,8.0,0.8,9.5,0.7,59,3.5,1.5,0.625
Gangplank,Gangplank,41,Fighter,,7,6,4,9,630,114,280,60.0,345,31,4.7,32,2.05,125,6.0,0.6,8.0,0.7,64,3.7,3.2,0.658
Garen,Garen,86,Fighter,Tank,7,7,1,5,690,98,0,0.0,340,38,4.2,32,1.55,175,8.0,0.5,0.0,0.0,69,4.5,3.65,0.625
Gnar,Gnar,150,Fighter,Tank,6,5,5,8,540,79,100,0.0,335,32,3.7,30,1.3,175,4.5,1.25,0.0,0.0,60,3.2,6.0,0.625
Gragas,Gragas,79,Fighter,Mage,4,7,6,5,640,115,400,47.0,330,38,5.0,32,2.05,125,5.5,0.5,6.0,0.8,64,3.5,2.05,0.675
Graves,Graves,104,Marksman,,8,5,3,3,625,106,325,40.0,340,33,4.6,32,2.05,425,8.0,0.7,8.0,0.7,68,4.0,3.0,0.475
Gwen,Gwen,887,Fighter,,7,4,5,5,620,115,330,40.0,340,39,5.2,32,2.05,150,9.0,0.9,7.5,0.7,63,3.0,2.25,0.69
Hecarim,Hecarim,120,Fighter,Tank,8,6,4,6,625,106,280,40.0,345,32,5.45,32,2.05,175,7.0,0.75,7.0,0.8,66,3.7,2.5,0.67
Heimerdinger,Heimerdinger,74,Mage,Support,2,6,8,8,558,101,385,20.0,340,19,4.2,30,1.3,550,7.0,0.55,8.0,0.8,56,2.7,1.36,0.658
Hwei,Hwei,910,Mage,Support,7,1,8,9,580,109,480,30.0,330,21,4.7,30,1.3,550,5.5,0.55,7.5,0.75,54,3.3,2.5,0.69
Illaoi,Illaoi,420,Fighter,Tank,8,6,3,4,656,115,350,50.0,350,35,5.0,32,2.05,125,9.5,0.8,7.5,0.75,65,5.0,2.5,0.625
Irelia,Irelia,39,Fighter,Assassin,7,4,5,5,630,115,350,50.0,335,36,4.7,30,2.05,200,6.0,0.85,8.0,0.8,65,3.5,2.5,0.656
Ivern,Ivern,427,Support,Mage,3,5,7,7,630,99,450,60.0,330,27,4.7,30,1.3,475,7.0,0.85,6.0,0.75,50,3.0,3.4,0.644
Janna,Janna,40,Support,Mage,3,5,7,7,570,90,360,50.0,325,28,4.5,30,1.3,550,5.5,0.55,11.5,0.4,47,2.5,3.0,0.625
Jarvan IV,JarvanIV,59,Fighter,Tank,6,8,3,5,640,104,300,55.0,340,36,5.2,32,2.05,175,8.0,0.7,6.5,0.45,64,3.0,2.5,0.658
Jax,Jax,24,Fighter,,7,5,7,5,665,100,339,52.0,350,36,4.2,32,2.05,125,8.5,0.55,7.6,0.7,68,4.25,3.4,0.638
Jayce,Jayce,126,Marksman,Fighter,8,4,3,7,590,109,375,45.0,335,22,5.0,30,1.3,125,6.0,0.6,6.0,0.8,59,4.25,3.0,0.658
Jhin,Jhin,202,Marksman,Mage,10,2,6,6,655,107,300,50.0,330,24,4.7,30,1.3,550,3.75,0.55,6.0,0.8,59,4.4,0.0,0.625
Jinx,Jinx,222,Marksman,,9,2,4,6,630,105,260,50.0,325,26,4.7,30,1.3,525,3.75,0.5,6.7,1.0,59,3.25,1.4,0.625
Kai'Sa,Kaisa,145,Marksman,Mage,8,5,3,6,640,102,345,40.0,335,25,4.2,30,1.3,525,3.5,0.55,8.2,0.7,59,2.6,1.8,0.644
Kalista,Kalista,429,Marksman,,8,2,4,7,600,114,300,45.0,330,24,5.2,30,1.3,525,4.0,0.75,6.3,0.8,59,3.25,4.5,0.694
Karma,Karma,43,Mage,Support,1,7,8,5,630,109,374,40.0,335,28,5.0,30,1.3,525,5.5,0.55,13.0,0.8,51,3.3,2.3,0.625
Karthus,Karthus,30,Mage,,2,2,10,7,620,110,467,31.0,335,21,4.7,30,1.3,450,6.5,0.55,8.0,0.8,46,3.25,2.11,0.625
Kassadin,Kassadin,38,Assassin,Mage,3,5,8,8,646,119,400,87.0,335,19,4.0,30,1.3,150,6.0,0.5,6.0,0.8,59,3.9,3.7,0.64
Katarina,Katarina,55,Assassin,Mage,4,3,9,8,672,108,0,0.0,335,28,4.7,32,2.05,125,7.5,0.7,0.0,0.0,58,3.2,2.74,0.658
Kayle,Kayle,10,Mage,Marksman,6,6,7,7,670,92,330,50.0,335,26,4.2,22,1.3,175,5.0,0.5,8.0,0.8,50,2.5,1.5,0.625
Kayn,Kayn,141,Fighter,Assassin,10,6,1,8,655,109,410,50.0,340,38,4.5,32,2.05,175,8.0,0.75,11.5,0.95,68,3.3,2.7,0.669
Kennen,Kennen,85,Mage,,6,4,7,4,580,98,200,0.0,335,29,4.95,30,1.3,550,5.5,0.65,50.0,0.0,48,3.75,3.4,0.625
Kha'Zix,Khazix,121,Assassin,,9,4,3,6,643,99,327,40.0,350,32,4.2,32,2.05,125,7.5,0.75,7.59,0.5,60,3.1,2.7,0.668
Kindred,Kindred,203,Marksman,,8,2,2,4,595,104,300,35.0,325,29,4.7,30,1.3,500,7.0,0.55,7.0,0.4,65,3.25,3.5,0.625
Kled,Kled,240,Fighter,,8,2,2,7,410,84,100,0.0,345,35,5.2,28,2.05,125,6.0,0.75,0.0,0.0,65,3.5,3.5,0.625
Kog'Maw,KogMaw,96,Marksman,Mage,8,2,5,6,635,99,325,40.0,330,24,4.45,30,1.3,500,3.75,0.55,8.75,0.7,61,3.1,2.65,0.665
K'Sante,KSante,897,Tank,Fighter,8,8,7,9,625,120,320,60.0,330,36,5.2,30,2.1,150,9.5,1.0,7.0,1.0,64,3.5,2.5,0.688
LeBlanc,Leblanc,7,Assassin,Mage,1,4,10,9,598,111,400,25.0,340,22,4.7,30,1.3,525,7.5,0.55,8.0,0.8,55,2.2,2.35,0.658
Lee Sin,LeeSin,64,Fighter,Assassin,8,5,3,6,645,108,200,0.0,345,36,4.9,32,2.05,125,7.5,0.7,50.0,0.0,69,3.7,3.0,0.651
Leona,Leona,89,Tank,Support,4,8,3,4,646,101,302,40.0,335,43,4.8,32,2.05,125,8.5,0.85,6.0,0.8,60,3.0,2.9,0.625
Lillia,Lillia,876,Fighter,Mage,0,2,10,8,605,105,410,50.0,330,22,4.5,32,1.55,325,2.5,0.55,11.5,0.95,61,3.1,2.7,0.625
Lissandra,Lissandra,127,Mage,,2,5,8,6,620,110,475,30.0,325,22,4.9,30,1.3,550,7.0,0.55,8.0,0.4,55,2.7,1.5,0.656
Lucian,Lucian,236,Marksman,Assassin,8,5,3,6,641,100,320,43.0,335,28,4.2,30,1.3,500,3.75,0.65,7.0,0.8,60,2.9,3.3,0.638
Lulu,Lulu,117,Support,Mage,4,5,7,5,595,92,350,55.0,330,26,4.9,30,1.3,550,6.0,0.6,11.0,0.6,47,2.6,2.25,0.625
Lux,Lux,99,Mage,Support,2,4,9,5,580,99,480,23.5,330,21,5.2,30,1.3,550,5.5,0.55,7.0,0.8,54,3.3,3.0,0.669
Malphite,Malphite,54,Tank,Mage,5,9,7,2,665,104,280,60.0,335,37,4.95,28,2.05,125,7.0,0.55,7.3,0.55,62,4.0,3.4,0.736
Malzahar,Malzahar,90,Mage,,2,2,9,6,580,101,375,28.0,335,18,4.7,30,1.3,500,6.0,0.6,8.0,0.8,55,3.0,1.5,0.625
Maokai,Maokai,57,Tank,Support,3,8,6,3,665,109,375,43.0,335,35,5.2,32,2.05,125,5.0,0.75,6.0,0.6,64,3.3,2.125,0.8
Master Yi,MasterYi,11,Assassin,Fighter,10,4,2,4,669,105,251,42.0,355,33,4.7,32,2.05,175,7.5,0.65,7.25,0.45,65,2.8,2.5,0.679
Mel,Mel,800,Mage,Support,2,4,9,5,600,93,480,28.0,330,21,5.2,30,1.3,550,6.0,0.55,9.0,0.9,54,3.3,2.5,0.625
Milio,Milio,902,Support,Mage,2,4,8,5,560,88,365,43.0,330,26,4.6,30,1.3,525,5.0,0.5,11.5,0.4,48,3.2,3.0,0.625
Miss Fortune,MissFortune,21,Marksman,Mage,8,2,5,1,640,103,300,40.0,325,28,4.2,30,1.3,550,3.75,0.65,8.0,0.8,53,2.4,3.0,0.656
Wukong,MonkeyKing,62,Fighter,Tank,8,5,2,3,610,99,330,65.0,340,31,4.7,28,2.05,175,3.5,0.65,8.0,0.8,66,3.5,3.0,0.69
Mordekaiser,Mordekaiser,82,Fighter,Mage,4,6,7,4,645,104,100,0.0,335,37,4.2,32,2.05,175,5.0,0.75,0.0,0.0,61,4.0,1.0,0.625
Morgana,Morgana,25,Mage,Support,1,6,8,1,630,104,340,60.0,335,25,5.0,30,1.3,450,5.5,0.4,11.0,0.4,56,3.5,1.53,0.625
Naafiri,Naafiri,950,Assassin,Fighter,9,5,0,2,635,120,400,55.0,340,30,4.7,32,2.05,125,9.0,0.9,7.5,1.0,55,2.1,2.1,0.663
Nami,Nami,267,Support,Mage,4,3,7,5,560,88,365,43.0,335,29,5.2,30,1.3,550,5.5,0.55,11.5,0.4,54,3.1,2.61,0.644
Nasus,Nasus,75,Fighter,Tank,7,5,6,6,631,104,326,62.0,350,34,4.7,32,2.05,125,9.0,0.9,7.45,0.5,67,4.0,3.48,0.638
Nautilus,Nautilus,111,Tank,Support,4,6,6,6,646,100,400,47.0,325,39,4.95,32,2.05,175,8.5,0.55,8.65,0.5,61,3.3,1.0,0.706
Neeko,Neeko,518,Mage,Support,1,1,9,5,610,104,450,30.0,340,21,5.2,30,1.3,550,7.5,0.75,7.0,0.7,48,2.5,3.5,0.625
Nidalee,Nidalee,76,Assassin,Mage,5,4,7,8,610,109,295,45.0,335,32,5.0,30,1.45,525,6.0,0.6,6.0,0.8,58,3.5,3.22,0.638
Nilah,Nilah,895,Fighter,Assassin,8,4,4,10,570,101,350,35.0,340,27,4.5,32,2.05,225,6.0,0.9,8.2,0.7,58,2.0,3.0,0.697
Nocturne,Nocturne,56,Fighter,Assassin,9,5,2,4,655,109,275,35.0,345,38,4.7,32,1.55,125,7.0,0.75,7.0,0.45,62,2.6,2.7,0.721
Nunu & Willump,Nunu,20,Tank,Mage,4,6,7,4,610,90,280,42.0,345,29,4.2,32,2.05,125,5.0,0.8,7.0,0.5,61,3.0,2.25,0.625
Olaf,Olaf,2,Fighter,Tank,9,5,3,3,645,119,316,50.0,350,35,4.2,32,2.05,125,6.5,0.6,7.5,0.6,68,4.7,2.7,0.694
Orianna,Orianna,61,Mage,Support,4,3,9,7,585,110,418,25.0,325,20,4.2,26,1.3,525,7.0,0.55,8.0,0.8,44,2.6,3.5,0.658
Ornn,Ornn,516,Tank,,5,9,3,5,660,109,341,65.0,335,33,5.2,32,2.05,175,9.0,0.9,8.0,0.6,69,3.5,2.0,0.625
Pantheon,Pantheon,80,Fighter,Assassin,9,4,3,4,650,109,317,31.0,345,40,4.95,28,2.05,175,6.0,0.65,7.35,0.45,64,3.3,2.95,0.658
Poppy,Poppy,78,Tank,Fighter,6,7,2,6,610,104,280,40.0,345,35,5.0,32,2.05,125,8.0,0.8,7.0,0.7,60,4.0,2.5,0.658
Pyke,Pyke,555,Support,Assassin,9,3,1,7,670,110,415,50.0,330,43,4.7,32,2.05,150,7.0,0.5,8.0,1.0,62,2.0,2.5,0.667
Qiyana,Qiyana,246,Assassin,,0,2,4,8,590,124,375,60.0,335,31,4.7,32,2.05,150,8.0,0.9,8.0,0.7,66,3.1,2.1,0.688
Quinn,Quinn,133,Marksman,Assassin,9,4,2,5,565,107,269,35.0,330,28,4.7,30,1.3,525,5.5,0.55,7.0,0.4,59,2.7,3.1,0.668
Rakan,Rakan,497,Support,,2,4,8,5,610,99,315,50.0,335,30,4.9,32,2.05,300,5.0,0.5,8.75,0.5,62,3.5,3.0,0.635
Rammus,Rammus,33,Tank,,4,10,5,5,675,94,310,33.0,335,40,5.5,32,2.05,125,8.0,0.55,7.85,0.5,55,2.75,2.215,0.656
Rek'Sai,RekSai,421,Fighter,Tank,8,5,2,3,600,99,100,0.0,340,36,4.95,32,2.05,175,2.5,0.5,0.0,0.0,58,3.0,2.0,0.667
Rell,Rell,526,Tank,Support,0,0,0,0,640,104,320,40.0,315,30,4.3,28,1.8,175,7.5,0.85,7.0,0.7,55,3.0,2.0,0.625
Renata Glasc,Renata,888,Support,Mage,2,6,9,8,545,94,350,50.0,330,27,4.7,30,1.3,550,5.5,0.55,11.5,0.5,49,3.0,2.11,0.625
Renekton,Renekton,58,Fighter,Tank,8,5,2,3,660,111,100,0.0,345,35,5.2,28,2.05,125,8.0,0.75,0.0,0.0,69,4.15,2.75,0.665
Rengar,Rengar,107,Assassin,Fighter,7,4,2,8,590,104,4,0.0,345,34,4.2,32,2.05,125,6.0,0.5,0.0,0.0,68,3.0,3.0,0.667
Riven,Riven,92,Fighter,Assassin,8,5,1,8,630,100,0,0.0,340,33,4.4,32,2.05,125,8.5,0.5,0.0,0.0,64,3.0,3.5,0.625
Rumble,Rumble,68,Fighter,Mage,3,6,8,10,655,105,150,0.0,345,36,4.7,28,1.55,125,7.0,0.6,0.0,0.0,64,3.2,1.85,0.644
Ryze,Ryze,13,Mage,,2,2,10,7,645,124,300,70.0,340,22,4.2,32,1.3,550,8.0,0.8,8.0,1.0,58,3.0,2.11,0.658
Samira,Samira,360,Marksman,Assassin,8,5,3,6,630,108,349,38.0,335,26,4.7,30,1.3,500,3.25,0.55,8.2,0.7,57,3.0,3.3,0.658
Sejuani,Sejuani,113,Tank,,5,7,6,4,630,114,400,40.0,340,34,5.45,32,2.05,150,8.5,1.0,7.0,0.7,66,4.0,3.5,0.688
Senna,Senna,235,Support,Marksman,7,2,6,7,530,89,350,45.0,330,25,4.0,30,1.3,600,3.5,0.55,11.5,0.7,50,0.0,2.0,0.625
Seraphine,Seraphine,147,Support,Mage,0,0,0,0,570,90,360,25.0,330,26,4.2,30,1.3,525,6.5,0.6,11.5,0.95,50,3.0,2.0,0.669
Sett,Sett,875,Fighter,Tank,8,5,1,2,670,114,0,0.0,340,33,5.2,28,2.05,125,7.0,0.5,0.0,0.0,60,4.0,1.75,0.625
Shaco,Shaco,35,Assassin,,8,4,6,9,630,99,297,40.0,345,30,4.0,32,2.05,125,8.5,0.55,6.0,0.35,63,3.0,3.0,0.694
Shen,Shen,98,Tank,,3,9,3,4,610,99,400,0.0,340,34,4.2,32,2.05,125,8.5,0.75,50.0,0.0,64,3.0,3.0,0.751
Shyvana,Shyvana,102,Fighter,Mage,8,6,3,4,665,104,100,0.0,350,38,4.55,32,1.5,125,8.5,0.8,0.0,0.0,66,3.0,2.5,0.658
Singed,Singed,27,Tank,Mage,4,8,7,5,650,99,330,45.0,345,34,4.2,32,2.05,125,9.5,0.55,7.5,0.55,63,3.4,1.9,0.625
Sion,Sion,14,Tank,Fighter,5,9,3,5,655,87,400,52.0,345,32,4.2,32,2.05,175,7.5,0.8,8.0,0.6,68,4.0,1.3,0.679
Sivir,Sivir,15,Marksman,,9,3,1,4,600,104,340,45.0,335,30,4.45,30,1.3,500,3.25,0.55,6.0,0.8,60,2.5,2.0,0.625
Skarner,Skarner,72,Tank,Fighter,7,8,5,5,630,110,320,40.0,335,33,4.8,32,2.05,150,7.5,0.75,7.2,0.75,63,3.0,2.0,0.625
Smolder,Smolder,901,Marksman,Mage,8,2,5,6,575,100,300,40.0,330,26,4.7,30,1.3,550,4.5,0.6,8.5,0.7,60,2.3,4.0,0.638
Sona,Sona,37,Support,Mage,5,2,8,4,550,91,340,45.0,325,26,4.2,30,1.3,550,5.5,0.55,11.5,0.4,49,3.0,2.3,0.644
Soraka,Soraka,16,Support,Mage,2,5,7,3,605,88,425,40.0,325,32,5.0,30,1.3,550,2.5,0.5,11.5,0.4,50,3.0,2.14,0.625
Swain,Swain,50,Mage,Support,2,6,9,8,595,99,400,29.0,330,25,4.7,31,1.55,525,3.0,0.5,10.0,0.8,58,2.7,2.11,0.625
Sylas,Sylas,517,Mage,Assassin,3,4,8,5,600,122,400,70.0,340,29,5.2,32,2.55,175,9.0,0.9,8.0,0.8,61,3.0,3.5,0.645
Syndra,Syndra,134,Mage,,2,3,9,8,563,104,480,40.0,330,25,4.6,30,1.3,550,6.5,0.6,8.0,0.8,54,2.9,2.0,0.658
Tahm Kench,TahmKench,223,Tank,Support,3,9,6,5,640,103,325,50.0,335,39,4.7,32,2.05,175,6.5,0.55,8.0,1.0,56,3.2,2.5,0.658
Taliyah,Taliyah,163,Mage,Support,1,7,8,5,550,104,470,30.0,330,18,4.7,30,1.3,525,6.5,0.65,8.0,0.8,58,3.3,1.36,0.658
Talon,Talon,91,Assassin,,9,3,1,7,658,109,400,37.0,335,30,4.7,36,2.05,125,8.5,0.75,7.6,0.8,68,3.1,2.9,0.625
Taric,Taric,44,Support,Tank,4,8,5,3,645,99,300,60.0,340,40,4.3,28,2.05,150,6.0,0.5,8.5,0.8,55,3.5,2.0,0.625
Teemo,Teemo,17,Marksman,Mage,5,3,7,6,615,104,334,25.0,330,24,4.95,30,1.3,500,5.5,0.65,9.6,0.45,54,3.0,3.38,0.69
Thresh,Thresh,412,Support,Tank,5,6,6,7,600,120,274,44.0,330,33,0.0,30,1.55,450,7.0,0.55,6.0,0.8,56,2.2,3.5,0.625
Tristana,Tristana,18,Marksman,Assassin,9,3,5,4,640,102,300,32.0,325,30,4.0,28,1.3,550,4.0,0.5,7.2,0.45,60,2.5,1.5,0.656
Trundle,Trundle,48,Fighter,Tank,7,6,2,5,650,110,340,45.0,350,37,3.9,32,2.05,175,6.0,0.75,7.5,0.6,68,4.0,2.9,0.67
Tryndamere,Tryndamere,23,Fighter,Assassin,10,5,2,5,696,108,100,0.0,345,33,4.8,32,2.05,175,8.5,0.9,0.0,0.0,66,4.0,3.4,0.67
Twisted Fate,TwistedFate,4,Mage,Marksman,6,2,6,9,604,108,333,39.0,330,21,4.35,30,1.3,525,5.5,0.6,8.0,0.8,52,2.5,2.5,0.625
Twitch,Twitch,29,Marksman,Assassin,9,2,3,6,630,104,300,40.0,330,27,4.2,30,1.3,550,3.75,0.6,7.25,0.7,59,3.1,3.38,0.679
Udyr,Udyr,77,Fighter,Tank,8,7,4,7,664,92,271,50.0,350,31,4.7,32,2.05,125,6.0,0.75,7.5,0.45,62,4.0,3.0,0.65
Urgot,Urgot,6,Fighter,Tank,8,5,3,8,655,102,340,45.0,330,36,5.0,32,2.05,350,7.5,0.7,7.25,0.8,63,4.0,3.75,0.625
Varus,Varus,110,Marksman,Mage,7,3,4,2,600,105,320,40.0,330,27,4.6,30,1.3,575,3.5,0.55,8.0,0.8,59,3.4,3.5,0.658
Vayne,Vayne,67,Marksman,Assassin,10,1,1,8,550,103,232,35.0,330,23,4.6,30,1.3,550,3.5,0.55,7.0,0.4,60,2.35,3.3,0.658
Veigar,Veigar,45,Mage,,2,2,10,7,580,108,490,26.0,340,18,5.2,32,1.3,550,6.5,0.6,8.0,0.8,52,2.7,2.24,0.625
Vel'Koz,Velkoz,161,Mage,Support,2,2,10,8,590,102,469,21.0,340,22,4.7,30,1.3,525,5.5,0.55,8.0,0.8,55,3.1416,1.59,0.643
Vex,Vex,711,Mage,,0,0,0,0,590,104,490,32.0,335,23,4.45,28,1.3,550,6.5,0.6,6.0,0.8,54,2.75,1.0,0.669
Vi,Vi,254,Fighter,Assassin,8,5,3,4,655,99,295,65.0,340,30,4.7,32,2.05,125,10.0,1.0,8.0,0.65,63,3.0,2.0,0.644
Viego,Viego,234,Fighter,Assassin,6,4,2,5,630,109,10000,0.0,345,34,4.6,32,2.05,200,7.0,0.7,0.0,0.0,60,3.5,2.5,0.658
Viktor,Viktor,112,Mage,,2,4,10,9,600,100,405,45.0,335,23,4.4,30,1.3,525,8.0,0.65,8.0,0.8,53,3.0,2.11,0.658
Vladimir,Vladimir,8,Mage,Fighter,2,6,8,7,607,110,2,0.0,330,27,4.5,30,1.3,450,7.0,0.6,0.0,0.0,55,3.0,2.0,0.658
Volibear,Volibear,106,Fighter,Tank,7,7,4,3,650,104,350,70.0,340,31,5.2,32,2.05,150,9.0,0.75,6.25,0.5,60,3.5,2.0,0.625
Warwick,Warwick,19,Fighter,Tank,9,5,3,3,620,99,280,35.0,335,33,4.4,32,2.05,125,4.0,0.75,7.45,0.6,60,2.75,2.3,0.638
Xayah,Xayah,498,Marksman,,10,6,1,5,630,107,340,40.0,330,25,4.2,30,1.3,525,3.25,0.75,8.25,0.8,60,3.5,3.9,0.658
Xerath,Xerath,101,Mage,Support,1,3,10,8,596,106,400,22.0,340,22,4.7,30,1.3,525,5.5,0.55,6.85,0.8,55,3.0,1.36,0.658
Xin Zhao,XinZhao,5,Fighter,Tank,8,6,3,2,640,106,274,55.0,345,35,5.0,32,2.05,175,8.0,0.7,7.25,0.45,63,3.0,3.5,0.645
Yasuo,Yasuo,157,Fighter,Assassin,8,4,4,10,590,110,100,0.0,345,32,4.6,32,2.05,175,6.5,0.9,0.0,0.0,60,3.0,3.5,0.697
Yone,Yone,777,Fighter,Assassin,8,4,4,8,620,105,500,0.0,345,33,4.6,32,2.05,175,7.5,0.75,0.0,0.0,60,2.0,3.5,0.625
Yorick,Yorick,83,Fighter,Tank,6,6,4,6,650,114,300,60.0,340,39,5.2,32,2.05,175,8.0,0.8,7.5,0.75,62,5.0,2.0,0.625
