match_id,team,attack_mean,defense_mean,magic_mean,difficulty_mean,primary_role_Assassin_sum,primary_role_Fighter_sum,primary_role_Mage_sum,primary_role_Marksman_sum,primary_role_Support_sum,primary_role_Tank_sum,game_duration,win
NA1_5213073359,2,4.2,4.2,6.8,6.6,0,0,3,1,1,0,1269.0,False
NA1_5213077109,1,5.4,4.0,4.8,7.2,1,1,1,1,1,0,1029.0,False
NA1_5213077109,2,5.4,4.8,4.8,5.4,1,2,1,0,1,0,1029.0,True
NA1_5213081778,1,5.0,4.0,5.4,4.8,1,1,2,0,1,0,1560.0,False
NA1_5213081778,2,6.0,4.6,5.4,5.6,0,1,2,1,1,0,1560.0,True
NA1_5213082140,1,4.8,4.8,6.8,6.4,0,1,2,1,0,1,1589.0,False
NA1_5213082140,2,4.2,5.0,6.6,6.4,1,1,0,1,0,2,1589.0,True
NA1_5213087742,1,7.4,4.2,4.0,5.4,1,1,0,2,1,0,1231.0,True
NA1_5213087742,2,4.8,4.0,6.0,5.0,0,2,3,0,0,0,1231.0,False
NA1_5213088103,1,5.6,4.8,5.4,6.2,0,1,2,1,0,1,1694.0,False
NA1_5213088103,2,5.2,4.2,4.8,5.8,1,0,1,1,1,1,1694.0,True
NA1_5213093859,1,6.6,4.4,4.0,6.0,0,1,2,1,0,1,1067.0,True
NA1_5213093859,2,6.2,3.4,6.2,6.4,0,0,2,2,0,1,1067.0,False
NA1_5213097590,1,4.2,5.8,6.0,3.8,0,0,1,1,1,2,1315.0,True
NA1_5213097590,2,4.2,3.6,4.0,4.2,0,1,2,0,2,0,1315.0,False
NA1_5213105712,1,8.0,3.2,6.0,6.2,1,1,1,2,0,0,1129.0,True
NA1_5213105712,2,4.6,4.2,6.6,5.8,0,1,3,1,0,0,1129.0,False
NA1_5213107070,1,6.4,6.2,4.0,5.8,0,1,1,1,0,2,1432.0,True
NA1_5213107070,2,3.8,3.8,6.2,5.2,1,1,0,1,1,1,1432.0,False
NA1_5213107655,1,5.2,5.2,5.6,4.8,1,1,0,1,1,1,969.0,True
NA1_5213107655,2,5.4,4.2,3.4,6.2,1,1,1,1,0,1,969.0,False
NA1_5213107950,1,5.8,3.6,5.0,6.8,1,0,2,2,0,0,1466.0,True
NA1_5213107950,2,6.0,2.8,6.8,6.8,0,0,3,2,0,0,1466.0,False
NA1_5213109879,1,3.8,3.6,7.2,5.2,0,1,2,1,1,0,1506.0,True
NA1_5213109879,2,2.8,4.0,6.2,4.8,0,0,5,0,0,0,1506.0,False
NA1_5213110877,1,6.4,6.4,3.8,5.2,0,0,0,2,0,3,1181.0,False
NA1_5213110877,2,4.8,3.4,6.2,6.0,0,1,2,1,1,0,1181.0,True
NA1_5213121514,1,5.2,4.4,5.6,4.6,0,2,1,1,1,0,1184.0,True
NA1_5213121514,2,4.6,4.8,6.2,4.6,0,1,2,1,0,1,1184.0,False
NA1_5213124901,1,5.2,3.0,6.0,5.8,0,1,3,1,0,0,1204.0,False
NA1_5213124901,2,4.6,3.8,6.4,5.0,0,0,3,1,0,1,1204.0,True
NA1_5213127566,1,5.6,5.4,5.8,6.0,0,2,1,1,0,1,875.0,True
NA1_5213127566,2,5.6,5.2,5.2,6.4,1,1,0,1,1,1,875.0,False
NA1_5213127879,1,6.0,4.4,5.2,5.8,0,2,1,1,1,0,1287.0,True
NA1_5213127879,2,3.4,4.2,7.4,5.8,0,0,4,1,0,0,1287.0,False
NA1_5213128845,1,7.0,3.4,4.2,4.8,0,1,1,3,0,0,1400.0,True
NA1_5213128845,2,6.2,4.0,4.4,5.4,1,0,1,2,0,1,1400.0,False
NA1_5213131423,1,4.8,5.6,6.2,5.6,0,1,1,1,1,1,804.0,False
NA1_5213131423,2,6.4,3.2,4.6,4.8,1,1,1,2,0,0,804.0,True
NA1_5213138300,1,5.0,4.6,5.8,6.0,0,1,1,1,1,1,860.0,False
NA1_5213138300,2,2.6,3.4,6.2,7.4,1,0,2,1,1,0,860.0,True
NA1_5213140019,1,6.0,3.4,5.0,6.8,1,0,1,3,0,0,979.0,False
NA1_5213140019,2,5.0,4.2,5.6,5.8,0,0,1,1,2,1,979.0,True
NA1_5213141429,1,5.6,3.8,5.6,5.8,0,0,1,2,1,1,825.0,False
NA1_5213141429,2,5.4,3.8,6.0,5.8,0,1,1,1,1,1,825.0,True
NA1_5213141715,1,3.6,3.6,7.6,6.6,0,1,4,0,0,0,1121.0,True
NA1_5213141715,2,3.2,3.6,4.8,5.0,0,1,2,1,0,1,1121.0,False
NA1_5213149387,1,6.0,4.2,5.2,4.2,0,1,1,2,1,0,1711.0,False
NA1_5213149387,2,2.6,5.2,5.8,4.8,0,0,2,0,1,2,1711.0,True
NA1_5213159760,1,4.8,4.4,4.8,5.2,0,0,1,2,1,1,1207.0,True
NA1_5213159760,2,7.6,4.0,4.4,5.4,0,2,1,2,0,0,1207.0,False
NA1_5213163032,1,4.8,3.0,6.2,6.2,1,1,3,0,0,0,980.0,False
NA1_5213163032,2,6.8,3.6,4.0,6.4,0,0,1,3,0,1,980.0,True
NA1_5213169491,1,5.8,2.8,2.4,5.6,0,0,1,1,1,2,1706.0,True
NA1_5213169491,2,2.8,5.0,7.8,6.2,0,1,3,0,0,1,1706.0,False
NA1_5213170213,1,5.4,4.0,3.2,2.8,0,3,1,0,1,0,1167.0,True
NA1_5213170213,2,4.2,5.6,6.6,5.4,0,1,2,1,0,1,1167.0,False
NA1_5213171551,1,6.0,3.6,5.2,5.0,2,0,0,2,1,0,835.0,False
NA1_5213171551,2,7.2,3.2,4.0,5.2,0,1,0,3,1,0,835.0,True
NA1_5213174446,1,5.2,4.6,6.0,6.0,0,0,3,1,0,1,1353.0,True
NA1_5213174446,2,5.6,3.4,4.8,6.2,0,1,1,2,1,0,1353.0,False
NA1_5213180971,1,7.8,2.8,4.0,6.8,0,2,1,2,0,0,939.0,False
NA1_5213180971,2,3.0,4.0,4.6,5.6,0,1,2,1,1,0,939.0,True
NA1_5213183219,1,3.8,4.2,7.0,3.2,0,1,1,1,2,0,1391.0,True
NA1_5213183219,2,4.4,2.8,7.8,6.8,0,0,3,1,0,1,1391.0,False
NA1_5213187094,1,6.8,5.8,3.6,4.8,0,2,0,1,0,2,1106.0,True
NA1_5213187094,2,4.6,4.2,5.0,6.8,1,0,1,1,2,0,1106.0,False
NA1_5213189069,1,6.6,4.4,4.0,6.0,0,2,1,1,1,0,1464.0,False
NA1_5213189069,2,6.8,4.2,4.2,4.8,0,2,0,2,1,0,1464.0,True
NA1_5213189405,1,6.4,4.0,4.8,6.8,1,1,1,2,0,0,1846.0,True
NA1_5213189405,2,4.2,4.8,6.4,7.2,1,0,2,1,0,1,1846.0,False
NA1_5213191318,1,3.2,3.2,8.0,6.2,0,0,3,0,2,0,1556.0,False
NA1_5213191318,2,3.8,4.4,7.0,4.2,0,0,2,1,1,1,1556.0,True
NA1_5213191714,1,5.0,5.8,6.4,6.6,1,2,1,0,0,1,1053.0,False
NA1_5213191714,2,5.4,3.8,4.2,4.0,1,0,0,2,1,1,1053.0,True
NA1_5213192764,1,4.6,3.6,6.8,8.0,1,0,3,0,1,0,738.0,False
NA1_5213192764,2,5.2,3.8,6.4,5.2,0,0,2,1,1,1,738.0,True
NA1_5213196289,1,5.2,5.0,5.2,4.8,1,2,0,1,0,1,1124.0,False
NA1_5213196289,2,5.4,3.2,6.8,6.8,1,0,2,1,1,0,1124.0,True
NA1_5213198643,1,2.6,3.8,6.2,5.8,1,1,1,0,1,1,2050.0,True
NA1_5213198643,2,7.0,4.0,5.4,6.2,3,0,0,1,0,1,2050.0,False
NA1_5213198839,1,3.2,3.0,8.4,7.2,1,0,4,0,0,0,1209.0,False
NA1_5213198839,2,6.0,3.6,4.6,5.2,1,0,2,2,0,0,1209.0,True
NA1_5213199642,1,5.8,4.4,6.4,5.8,0,2,1,0,1,1,1089.0,False
NA1_5213199642,2,5.8,3.8,2.4,3.4,0,2,0,1,1,1,1089.0,True
NA1_5213206228,1,2.8,4.2,5.6,5.4,0,1,3,0,0,1,1012.0,True
NA1_5213206228,2,7.2,4.2,5.2,5.2,0,2,1,2,0,0,1012.0,False
NA1_5213208581,1,4.8,4.4,6.4,6.0,0,1,3,1,0,0,927.0,False
NA1_5213208581,2,4.8,5.6,6.0,3.6,0,1,2,1,0,1,927.0,True
NA1_5213209613,1,5.8,4.6,5.4,4.8,0,1,1,1,1,1,777.0,True
NA1_5213209613,2,5.4,4.0,5.8,7.8,0,1,1,2,0,1,777.0,False
NA1_5213212813,1,7.0,3.8,4.0,4.2,0,2,0,2,1,0,955.0,False
NA1_5213212813,2,5.0,3.4,4.2,4.8,0,1,1,2,0,1,955.0,True
NA1_5213213942,1,6.2,3.6,4.0,7.0,1,1,1,1,0,1,1394.0,True
NA1_5213213942,2,3.6,5.4,7.0,6.8,0,1,2,1,1,0,1394.0,False
NA1_5213222475,1,5.6,3.6,5.6,5.6,0,1,2,2,0,0,1087.0,True
NA1_5213222475,2,6.0,5.6,5.2,4.6,0,3,1,0,0,1,1087.0,False
NA1_5213222845,1,3.6,5.0,6.0,8.0,1,0,2,0,1,1,1699.0,False
NA1_5213222845,2,6.4,4.0,4.6,4.6,0,0,1,3,0,1,1699.0,True
NA1_5213225552,1,2.6,6.0,7.0,4.8,0,0,3,0,0,2,1406.0,False
NA1_5213225552,2,3.6,4.4,5.4,5.8,2,0,1,0,1,1,1406.0,True
NA1_5213227598,1,4.4,4.0,7.0,4.4,0,1,1,1,2,0,996.0,True
NA1_5213227598,2,4.8,4.0,6.6,7.6,1,0,2,1,0,1,996.0,False
NA1_5213228229,1,7.0,6.0,3.4,4.2,0,3,0,1,0,1,1966.0,False
NA1_5213228229,2,4.0,3.8,7.6,7.6,0,1,4,0,0,0,1966.0,True
NA1_5213233030,1,3.0,4.8,4.2,4.8,1,0,2,0,1,1,1064.0,False
NA1_5213233030,2,5.8,4.2,5.2,6.4,0,2,1,2,0,0,1064.0,True
NA1_5213235734,1,4.2,5.2,6.4,5.0,0,0,1,1,2,1,1341.0,False
NA1_5213235734,2,5.4,4.6,5.2,7.0,2,1,0,1,0,1,1341.0,True
NA1_5213235862,1,4.0,3.6,7.4,5.6,0,0,2,1,2,0,1151.0,False
NA1_5213235862,2,3.4,4.2,7.2,5.6,0,2,2,0,0,1,1151.0,True
NA1_5213236461,1,4.6,5.0,6.6,6.6,1,0,1,2,0,1,1074.0,True
NA1_5213236461,2,6.0,3.0,5.2,7.2,0,1,2,1,1,0,1074.0,False
NA1_5213236772,1,4.0,5.2,7.2,5.0,1,0,2,0,0,2,1111.0,False
NA1_5213236772,2,6.2,3.4,5.2,5.8,0,1,1,3,0,0,1111.0,True
NA1_5213249365,1,6.2,3.4,6.0,7.6,1,2,1,1,0,0,1319.0,False
NA1_5213249365,2,5.2,5.4,5.4,7.2,0,1,2,1,0,1,1319.0,True
NA1_5213251862,1,4.4,5.0,6.8,5.4,0,2,2,0,1,0,1331.0,True
NA1_5213251862,2,5.2,5.0,4.2,5.6,0,1,1,2,0,1,1331.0,False
NA1_5213256406,1,2.2,3.0,7.2,6.0,2,0,3,0,0,0,1453.0,False
NA1_5213256406,2,6.2,3.2,3.2,3.6,0,3,1,0,1,0,1453.0,True
NA1_5213257483,1,5.4,3.6,7.0,6.4,1,1,2,1,0,0,1351.0,True
NA1_5213257483,2,7.8,3.8,3.4,4.8,1,2,0,1,1,0,1351.0,False
NA1_5213266063,1,4.6,3.4,7.4,7.0,0,0,2,2,0,1,1110.0,True
NA1_5213266063,2,3.4,3.6,5.0,5.4,0,0,2,1,1,1,1110.0,False
NA1_5213267117,1,5.0,5.8,6.2,4.6,0,2,1,1,0,1,1070.0,False
NA1_5213267117,2,4.0,3.6,7.4,6.6,1,0,2,1,1,0,1070.0,True
NA1_5213271088,1,4.0,4.8,7.6,5.8,1,1,2,0,0,1,1254.0,False
NA1_5213271088,2,5.2,4.6,5.2,6.0,0,1,2,2,0,0,1254.0,True
NA1_5213272163,1,4.8,4.8,6.6,5.6,1,1,1,1,0,1,1203.0,True
NA1_5213272163,2,4.6,5.6,5.4,5.6,0,0,2,1,0,2,1203.0,False
NA1_5213280254,1,4.8,3.8,6.6,7.4,0,1,2,1,1,0,1575.0,True
NA1_5213280254,2,5.4,2.8,7.2,6.6,0,0,2,2,1,0,1575.0,False
NA1_5213280989,1,7.4,2.8,5.2,6.4,0,1,1,2,1,0,1205.0,False
NA1_5213280989,2,5.0,3.2,7.0,7.2,0,1,3,0,1,0,1205.0,True
NA1_5213281073,1,6.4,6.0,5.2,6.6,1,0,1,0,1,2,987.0,True
NA1_5213281073,2,5.0,5.4,5.8,6.4,0,2,1,0,1,1,987.0,False
NA1_5213281100,1,5.2,3.8,3.6,3.4,0,2,1,0,1,1,1589.0,True
NA1_5213281100,2,4.0,4.2,6.6,6.6,0,0,2,0,2,1,1589.0,False
NA1_5213281635,1,6.2,5.8,4.8,4.6,0,1,0,2,0,2,1390.0,False
NA1_5213281635,2,4.8,4.0,7.0,5.6,0,0,3,1,0,1,1390.0,True
NA1_5213283697,1,4.8,5.6,5.6,4.8,1,1,1,0,0,2,1423.0,False
NA1_5213283697,2,5.4,3.4,7.2,6.4,0,1,1,2,1,0,1423.0,True
NA1_5213287149,1,4.8,4.8,6.0,4.0,0,0,1,1,1,2,924.0,True
NA1_5213287149,2,5.0,5.0,5.6,6.0,1,0,0,1,2,1,924.0,False
NA1_5213295747,1,5.2,4.8,5.6,6.6,0,2,2,1,0,0,1468.0,True
NA1_5213295747,2,6.2,3.8,5.2,6.0,0,2,2,1,0,0,1468.0,False
NA1_5213301393,1,5.6,4.8,5.6,5.8,0,1,2,0,0,2,932.0,True
NA1_5213301393,2,7.2,5.6,4.4,5.6,1,0,1,2,0,1,932.0,False
NA1_5213302751,1,7.8,5.4,4.0,5.8,0,1,0,2,0,2,1280.0,False
NA1_5213302751,2,5.0,5.8,5.6,4.2,0,2,0,1,1,1,1280.0,True
NA1_5213306518,1,6.4,3.8,4.4,5.4,1,0,0,3,0,1,1594.0,True
NA1_5213306518,2,5.4,4.8,5.2,6.6,0,2,2,1,0,0,1594.0,False
NA1_5213310165,1,5.8,5.4,4.8,5.4,0,2,0,1,1,1,836.0,False
NA1_5213310165,2,4.4,3.8,4.6,6.4,0,1,2,1,1,0,836.0,True
NA1_5213311590,1,6.2,3.8,4.8,4.6,0,1,1,2,1,0,1010.0,True
NA1_5213311590,2,5.6,5.2,5.6,6.0,0,2,1,1,1,0,1010.0,False
NA1_5213311685,1,6.0,2.6,3.4,5.0,1,0,1,3,0,0,814.0,True
NA1_5213311685,2,7.4,3.4,4.8,5.6,0,2,2,1,0,0,814.0,False
NA1_5213318460,1,5.4,3.2,5.6,4.8,0,0,2,3,0,0,1224.0,False
NA1_5213318460,2,5.0,2.2,4.2,5.2,0,0,2,1,1,1,1224.0,True
NA1_5213318826,1,5.2,3.4,6.0,7.2,0,1,2,2,0,0,1318.0,True
NA1_5213318826,2,4.2,3.4,4.2,4.2,0,1,2,1,1,0,1318.0,False
NA1_5213327124,1,5.0,6.8,4.2,4.2,1,1,1,0,0,2,769.0,False
NA1_5213327124,2,4.6,4.2,6.0,5.2,0,1,2,2,0,0,769.0,True
NA1_5213328244,1,3.4,4.4,4.6,5.2,1,1,2,0,1,0,1170.0,True
NA1_5213328244,2,5.2,4.2,6.4,5.8,1,1,1,1,1,0,1170.0,False
NA1_5213328670,1,4.2,4.4,5.0,3.0,0,1,1,1,0,2,1226.0,False
NA1_5213328670,2,2.8,4.8,5.6,5.6,1,1,1,1,0,1,1226.0,True
NA1_5213332621,1,6.8,2.6,5.2,5.0,0,0,1,3,1,0,1460.0,True
NA1_5213332621,2,5.4,3.6,5.2,4.2,0,1,2,2,0,0,1460.0,False
NA1_5213333424,1,2.6,3.8,5.8,5.2,0,0,3,0,1,1,624.0,True
NA1_5213333424,2,5.6,5.0,5.0,5.0,0,1,1,2,0,1,624.0,False
NA1_5213345074,1,5.6,2.8,6.0,7.0,0,0,2,3,0,0,1199.0,False
NA1_5213345074,2,6.2,4.0,5.4,5.8,0,1,0,3,0,1,1199.0,True
NA1_5213347969,1,4.2,4.8,7.2,6.2,0,1,1,1,1,1,1410.0,False
NA1_5213347969,2,7.4,3.4,5.6,5.4,0,1,2,2,0,0,1410.0,True
NA1_5213352108,1,4.8,3.8,5.8,6.6,0,1,2,1,0,1,1267.0,True
NA1_5213352108,2,6.8,4.8,3.8,5.0,0,2,1,1,0,1,1267.0,False
NA1_5213353563,1,3.8,5.0,8.0,6.2,1,0,2,1,0,1,867.0,False
NA1_5213353563,2,5.8,4.4,5.2,4.8,0,1,2,1,0,1,867.0,True
NA1_5213367459,1,7.0,5.0,3.4,5.8,0,4,0,1,0,0,1098.0,True
NA1_5213367459,2,5.4,4.2,5.8,5.4,0,1,2,2,0,0,1098.0,False
NA1_5213371642,1,6.6,5.2,4.6,5.4,0,0,1,1,2,1,879.0,True
NA1_5213371642,2,4.6,6.0,5.6,5.6,0,1,2,1,0,1,879.0,False
NA1_5213379200,1,4.8,3.2,3.8,5.4,2,0,2,0,0,1,1100.0,False
NA1_5213379200,2,6.8,3.4,4.0,7.2,0,1,1,2,0,1,1100.0,True
NA1_5213380850,1,7.4,5.2,3.0,5.8,1,2,0,1,0,1,927.0,False
NA1_5213380850,2,1.6,3.8,5.2,4.4,1,0,2,0,1,1,927.0,True
NA1_5213385279,1,6.0,2.6,3.2,4.0,0,1,0,2,2,0,1210.0,False
NA1_5213385279,2,6.6,4.4,4.2,6.0,0,4,0,0,1,0,1210.0,True
NA1_5213386673,1,5.8,4.2,4.6,4.6,0,1,1,2,0,1,947.0,True
NA1_5213386673,2,4.0,5.2,6.8,4.8,0,0,2,1,0,2,947.0,False
NA1_5213393113,1,5.6,3.8,5.4,5.6,0,1,2,2,0,0,1273.0,False
NA1_5213393113,2,3.8,5.8,6.8,5.2,0,0,1,1,1,2,1273.0,True
NA1_5213393959,1,6.8,4.8,4.0,6.0,0,3,1,1,0,0,707.0,True
NA1_5213393959,2,6.2,4.6,5.0,4.8,0,3,1,0,0,1,707.0,False
NA1_5213394112,1,5.8,3.6,5.8,5.6,0,2,2,1,0,0,1387.0,True
NA1_5213394112,2,2.8,5.6,7.4,5.6,0,0,1,1,2,1,1387.0,False
NA1_5213399802,1,5.8,4.2,5.4,6.6,1,1,2,1,0,0,1630.0,False
NA1_5213399802,2,6.4,3.4,5.2,7.4,1,2,2,0,0,0,1630.0,True
NA1_5213412481,1,4.4,4.8,6.0,5.0,1,1,2,0,0,1,1253.0,True
NA1_5213412481,2,5.8,3.6,5.8,4.6,0,2,2,1,0,0,1253.0,False
NA1_5213421322,1,9.0,4.4,3.0,5.6,0,0,0,5,0,0,1279.0,False
NA1_5213421322,2,3.6,4.4,5.6,4.2,0,1,1,0,2,1,1279.0,True
NA1_5213426371,1,4.4,3.8,6.8,7.0,0,0,2,2,0,1,1144.0,True
NA1_5213426371,2,7.6,4.6,4.0,4.2,2,1,0,2,0,0,1144.0,False
NA1_5213430105,1,4.0,3.2,6.0,6.6,2,0,1,1,1,0,1230.0,False
NA1_5213430105,2,6.0,5.8,5.2,5.4,1,1,0,1,0,2,1230.0,True
NA1_5213430447,1,5.6,4.8,5.8,7.8,0,2,1,0,2,0,962.0,True
NA1_5213430447,2,5.6,5.0,4.6,5.4,1,0,0,2,1,1,962.0,False
NA1_5213430953,1,6.0,3.8,5.6,5.6,0,1,2,1,0,1,968.0,True
NA1_5213430953,2,3.2,4.0,5.2,4.6,1,0,2,0,0,2,968.0,False
NA1_5213432970,1,7.0,3.6,4.6,5.4,0,2,1,1,1,0,1048.0,False
NA1_5213432970,2,6.8,4.8,3.8,4.6,0,2,0,2,0,1,1048.0,True
NA1_5213436764,1,5.6,3.4,6.4,6.6,1,1,1,1,1,0,1569.0,False
NA1_5213436764,2,4.2,3.8,5.2,4.8,0,1,2,1,1,0,1569.0,True
NA1_5213439187,1,4.2,3.2,5.4,4.8,1,0,1,2,1,0,1053.0,True
NA1_5213439187,2,8.8,3.0,2.2,6.8,0,0,0,4,1,0,1053.0,False
NA1_5213439982,1,6.8,4.8,4.0,5.2,0,0,0,3,0,2,1224.0,True
NA1_5213439982,2,5.6,5.0,5.4,6.4,1,1,2,0,0,1,1224.0,False
NA1_5213447083,1,6.2,4.8,4.4,5.6,0,1,1,2,1,0,842.0,False
NA1_5213447083,2,4.6,5.6,6.0,4.8,0,2,2,0,0,1,842.0,True
NA1_5213451823,1,4.0,3.6,6.8,5.8,0,1,1,2,0,1,1451.0,False
NA1_5213451823,2,5.0,5.0,7.0,5.6,0,2,1,1,1,0,1451.0,True
NA1_5213452541,1,7.0,3.2,4.6,4.0,0,0,1,4,0,0,1179.0,False
NA1_5213452541,2,6.6,3.4,3.4,4.2,0,2,0,2,1,0,1179.0,True
NA1_5213452580,1,5.4,5.6,5.2,4.4,0,1,1,2,0,1,1288.0,False
NA1_5213452580,2,5.4,3.8,6.0,6.2,1,0,1,2,1,0,1288.0,True
NA1_5213453042,1,5.0,4.0,4.2,4.2,0,1,2,1,0,1,954.0,True
NA1_5213453042,2,5.2,4.0,6.0,6.4,0,0,3,2,0,0,954.0,False
NA1_5213453662,1,4.4,4.2,7.0,6.0,0,1,3,1,0,0,1497.0,True
NA1_5213453662,2,5.6,4.6,5.6,6.2,1,1,1,0,1,1,1497.0,False
NA1_5213456314,1,5.8,5.4,5.0,4.8,0,1,1,1,0,2,1069.0,False
NA1_5213456314,2,4.6,5.2,6.0,5.8,0,1,2,0,0,2,1069.0,True
NA1_5213456418,1,4.6,4.4,6.6,5.8,0,1,2,0,2,0,936.0,False
NA1_5213456418,2,5.4,4.4,5.6,4.6,0,0,1,2,0,2,936.0,True
NA1_5213457932,1,4.6,5.0,5.4,4.6,0,2,0,1,2,0,1604.0,True
NA1_5213457932,2,5.8,5.4,5.8,4.4,0,1,1,1,0,2,1604.0,False
NA1_5213461467,1,4.0,3.8,5.0,5.0,1,0,1,2,1,0,985.0,False
NA1_5213461467,2,5.6,4.0,5.6,5.8,0,1,2,2,0,0,985.0,True
NA1_5213462558,1,4.2,4.0,6.6,6.6,0,2,2,1,0,0,1280.0,False
NA1_5213462558,2,3.6,2.8,5.8,4.4,0,1,3,1,0,0,1280.0,True
NA1_5213464934,1,5.0,4.2,5.8,5.8,1,1,1,1,1,0,663.0,True
NA1_5213464934,2,5.2,5.8,5.8,5.6,0,1,2,1,1,0,663.0,False
NA1_5213467736,1,5.2,5.4,6.2,5.8,0,1,2,1,0,1,1227.0,True
NA1_5213467736,2,3.6,5.8,6.2,6.0,1,1,1,0,0,2,1227.0,False
NA1_5213469900,1,6.8,5.0,3.6,5.4,0,3,0,2,0,0,1087.0,False
NA1_5213469900,2,5.6,5.0,5.0,6.0,1,2,1,0,1,0,1087.0,True
NA1_5213473709,1,4.8,3.8,4.4,5.6,0,1,1,0,2,1,1074.0,True
NA1_5213473709,2,4.6,3.6,6.8,5.6,0,1,2,0,2,0,1074.0,False
NA1_5213475324,1,3.0,3.2,5.4,5.0,0,0,2,1,1,1,1539.0,True
NA1_5213475324,2,4.6,5.0,5.4,4.8,1,1,1,1,0,1,1539.0,False
NA1_5213476040,1,5.2,3.6,6.0,4.4,1,0,1,2,1,0,2182.0,True
NA1_5213476040,2,4.8,6.0,5.2,6.4,1,0,1,1,0,2,2182.0,False
NA1_5213476743,1,5.4,3.8,6.2,6.4,1,1,2,1,0,0,1127.0,True
NA1_5213476743,2,6.0,4.6,5.6,6.4,0,3,1,0,1,0,1127.0,False
NA1_5213477648,1,6.8,4.4,4.4,5.2,0,1,0,2,1,1,1347.0,False
